violation_type,violation_section,violation_description,reviewed_dv_classification,normalized_section,numeric_statute_family,explicit_attempt_prefix,categories,reason,charge_rows,source_id_groups,statute_url
PC,30305(A)(1),POSSESS OF AMMUNITION BY PROHIBITED PERSON (F),other,30305(A)(1),30305,0,all|weapons,weapons: explicit PC numeric statute family 30305,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30305.
PC,30306(A),FIRM/CORPORATION SELL AMMUNITION TO PROHIBITED PERSON (M),other,30306(A),30306,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30306.
PC,30315,POSSESS ARMOR OR METAL PENETRATING HANDGUN AMMUNITION (F),other,30315,30315,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30315.
PC,30605(A),ILLEGALLY POSSESS ANY ASSAULT WEAPON,other,30605(A),30605,0,all|weapons,weapons: explicit PC numeric statute family 30605,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=30605.
PC,308A1AI,FURNISH UNDER 21 W/TOBACCO/SMOKING PARAPHERNALIA,other,308A1AI,308,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=308.
PC,311.1(A),SEND/SELL OBSCENE MATTER DEPICTING MINOR (F),other,311.1(A),311.1,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=311.1.
PC,311.2(A),SEND/POSS OBSCENE MATTER (M),other,311.2(A),311.2,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=311.2.
PC,311.4(A),USE MINOR FOR OBSCENE MATTER W/PR (F),other,311.4(A),311.4,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=311.4.
PC,31360(A),VIOLENT FELON POSSESS/OWN/PURCHASE BODY ARMOR,other,31360(A),31360,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=31360.
PC,314(1),INDECENT EXPOSURE,other,314(1),314,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=314.
PC,314(1),INDECENT EXPOSURE AFTER ILLEGAL ENTRY OCCUPIED DWELLING (F),other,314(1),314,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=314.
PC,314.1,INDECENT EXPOSURE AFTER ILLEGAL ENTRY OCCUPIED DWELLING (F),other,314.1,314.1,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=314.1.
PC,31500,MANUFACTURE/SALE/POSSESS UNCONVENTIONAL PISTOL (F),other,31500,31500,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=31500.
PC,32310(C),POSSESS LARGE CAPACITY MAGAZINE,other,32310(C),32310,0,all|weapons,weapons: explicit PC numeric statute family 32310,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=32310.
PC,32900,MANUFACTURE/SALE/POSSESSION MULTIBURST TRIGGER ACTIVATOR (F),other,32900,32900,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=32900.
PC,33215,MFG/IMPORT/ETC SHORT BARRELED RIFLE (M),other,33215,33215,0,all|weapons,weapons: explicit PC numeric statute family 33215,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=33215.
PC,337U(C),CLAIM MONEY W/INTENT TO DEFRAUD (M),other,337U(C),337,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=337.
PC,350(B),MFG/SELL COUNTERFEIT REGISTERED MARK W/PR (F),other,350(B),350,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=350.
PC,368(C),ELDER ABUSE/NEGLECT,ambiguous_related,368(C),368,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,368(D),THEFT FROM ELDER/DEPENDENT ADULT BY NON-CARETAKER (OVER $400),ambiguous_related,368(D),368,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,368(D)(1),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950),ambiguous_related,368(D)(1),368,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,368(E)(2),THEFT FROM ELDER/DEP ADULT BY CARETAKER [UNDER $950] (M),ambiguous_related,368(E)(2),368,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=368.
PC,369G(A),DRIVE/RIDE ALONG RAILROAD TRACK (M),other,369G(A),369,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=369.
PC,374.7(A),LITTER/DUMP WASTE IN WATER/SHORE,other,374.7(A),374.7,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=374.7.
PC,384A,CUT SHRUBS W/O WRITTEN PERMIT (M),other,384A,384,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=384.
PC,402(A),STOP AND IMPEDE AT EMERGENCY SCENE (M),other,402(A),402,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=402.
PC,405A,TAKE PERSON BY MEANS OF RIOT FROM LE (F),other,405A,405,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=405.
PC,409,REMAIN AT SCENE OF RIOT (M),other,409,409,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=409.
PC,409.5(C),ENTER CLOSED DISASTER AREA (M),other,409.5(C),409.5,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=409.5.
PC,415(2),DISTURBING THE PEACE - LOUD NOISE,other,415(2),415,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=415.
PC,415.5(A)(1),DISORD CONDUCT:FIGHT/CHALLENGE FIGHT AT SCHOOL (M),other,415.5(A)(1),415.5,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=415.5.
PC,417(C),EXHIBIT FIREARM IN PRESENCE OF PEACE OFCR (F),other,417(C),417,0,all|weapons,weapons: explicit PC numeric statute family 417,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
PC,417.25(A),THREATEN WITH LASER SCOPE WITH INTENT TO CAUSE FEAR (M),other,417.25(A),417.25,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.25.
PC,417B,DRAW/EXHIBIT FIREARM ON GROUNDS OF DAY CARE CENTER (F),other,417B,417,0,all|weapons,weapons: explicit PC numeric statute family 417,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=417.
PC,418,FORCIBLE ENTRY AND DETAINER (M),other,418,418,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=418.
PC,422,THREATEN CRIME WITH INTENT TO TERRORIZE,ambiguous_related,422,422,0,all|violence,violence: explicit PC numeric statute family 422; core-DV charge excluded from this family,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=422.
PC,422A,TERRORIST THREATS THAT THREATEN FAMILY,ambiguous_related,422A,422,0,all|violence,violence: explicit PC numeric statute family 422; core-DV charge excluded from this family,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=422.
PC,4502(B),PRISONER MANUFACTURE WEAPON,other,4502(B),4502,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4502.
PC,451(C),ARSON:STRUCTURE/FOREST LAND,other,451(C),451,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=451.
PC,451(D),ARSON:PROP,other,451(D),451,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=451.
PC,451D,ARSON:PROP,other,451D,451,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=451.
PC,452(D),CAUSING FIRE OF PROPERTY,other,452(D),452,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=452.
PC,452A,CAUSING FIRE THAT CAUSES GREAT BODILY INJURY (F),other,452A,452,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=452.
PC,452D,CAUSING FIRE OF PROPERTY,other,452D,452,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=452.
PC,4573(A),BRING NARCOTIC PARAPHERNALIA INTO PRISON/JAIL,other,4573(A),4573,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4573.
PC,4575(A),POSS CELL PHONE/ETC INTO JAIL (M),other,4575(A),4575,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4575.
PC,459,BURGLARY (VEHICLE),other,459,459,0,all|property,property: explicit PC numeric statute family 459,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=459.
PC,4600,DAMAGE JAIL/PRISON/PROPERTY (OVER $950),other,4600,4600,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4600.
PC,4600(A),DAMAGE JAIL/PRISON/PROPERTY (OVER $950),other,4600(A),4600,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4600.
PC,4600(A),DAMAGE JAIL/PRISON/PROPERTY (UNDER $950),other,4600(A),4600,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=4600.
PC,466.5(B),ULAWFUL USE OF VEH MASTER KEY (M),other,466.5(B),466.5,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=466.5.
PC,466.6(A),MAKE Mot Veh KEY W/O WORK ORDER (M),other,466.6(A),466.6,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=466.6.
PC,470(A),FORGERY,other,470(A),470,0,all|property,property: explicit PC numeric statute family 470,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,470A,ALTER/FORGE/FALSIFY DRVRS LIC/IDENT,other,470A,470,0,all|property,property: explicit PC numeric statute family 470,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,470B,FORGE/HANDWRITING (M),other,470B,470,0,all|property,property: explicit PC numeric statute family 470,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,470B,POSS DRVRS LIC/IDENT TO COMMIT FORGERY,other,470B,470,0,all|property,property: explicit PC numeric statute family 470,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=470.
PC,473(B),FORGERY THAT DOES NOT EXCEED $950 (M),other,473(B),473,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=473.
PC,475(C),PASS COMPLETED CHECK WITH INTENT TO DEFRAUD,other,475(C),475,0,all|property,property: explicit PC numeric statute family 475,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=475.
PC,475A,POSS BAD CHECK,other,475A,475,0,all|property,property: explicit PC numeric statute family 475,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=475.
PC,476,MAKE/PASS/PUBLISH FICTITIOUS CHECK/BILL/NOTE,other,476,476,0,all|property,property: explicit PC numeric statute family 476,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=476.
PC,476,MAKE/PASS/PUBLISH/ETC FICTITIOUS CHECK/BILL/NOTE,other,476,476,0,all|property,property: explicit PC numeric statute family 476,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=476.
PC,476A(B),NONSUFFICIENT FUNDS:CHECKS W/PR (F),other,476A(B),476,0,all|property,property: explicit PC numeric statute family 476,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=476.
PC,484,THEFT,other,484,484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484.1(A),FALSE INFO TO PAWN BROKER (M),other,484.1(A),484.1,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.1.
PC,484B,DIVERSION OF FUNDS [OVER $2350] (F),other,484B,484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484C,OBTAIN MONEY BY FALSE VOUCHER (F),other,484C,484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484E(B),ACQUIRE ACCES CRD INT SELL [4 OR MORE CARDS] (F),other,484E(B),484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484E(D),USE/ACCESS CREDIT CARD ACCOUNT INFORMATION W/O CONSENT,other,484E(D),484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484G,THEFT BY USE OF CREDIT CARD (UNDER $950),other,484G,484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484I(A),POSS INCOMPLETE ACCESS CARD (M),other,484I(A),484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484I(B),ALTER ACCESS CARD ACCOUNT INFO (F),other,484I(B),484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,484J,PUBLISH ACCESS CARD NUMBER TO DEFRAUD (M),other,484J,484,0,all|property,property: explicit PC numeric statute family 484,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=484.
PC,487(A),GRAND THEFT (MOT VEH THEFT),other,487(A),487,0,all|property,property: explicit PC numeric statute family 487,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,487(C),GRAND THEFT FROM PERSON,other,487(C),487,0,all|property,property: explicit PC numeric statute family 487,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,487B,GRAND THEFT:CONVERT REAL PROPERTY [OVER $950] (F),other,487B,487,0,all|property,property: explicit PC numeric statute family 487,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,487H(A),GRAND THEFT: CARGO OVER $950 (F),other,487H(A),487,0,all|property,property: explicit PC numeric statute family 487,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=487.
PC,488,PETTY THEFT(FROM BUILDING),other,488,488,0,all|property,property: explicit PC numeric statute family 488,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,488,PETTY THEFT(Pocket Picking) (M),other,488,488,0,all|property,property: explicit PC numeric statute family 488,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=488.
PC,490.4 (A)(1),THEFT OF MERCHANDISE W/ INTENT TO SELL/EXCHANGE: OVER $950 (F),other,490.4(A)(1),490.4,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=490.4.
PC,490.4(A)(4),RECRUIT/ORGANIZE/MANAGE ANOTHER FOR RETAIL THEFT (M),other,490.4(A)(4),490.4,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=490.4.
PC,498(B)(5),THEFT OF UTILITY SVCS BENEFIT UNDER $950,other,498(B)(5),498,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=498.
PC,498(D),THEFT OF UTILITY SERVICES [OVER $950] (F),other,498(D),498,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=498.
PC,499B(A),TAKE BIKE W/O OWNER'S PERMISSION (M),other,499B(A),499,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=499.
PC,503,EMBEZZLEMENT [OVER $950],other,503,503,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=503.
PC,504,EMBEZZLE PROP BY PUB/PRIV OFCR [OVER $400] (F),other,504,504,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=504.
PC,504,EMBEZZLE PROPERTY BY PUBLIC/PRIVATE OFFICER OVER $400,other,504,504,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=504.
PC,523,THREATENING LETTER W/INTENT TO EXTORT (F),other,523,523,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=523.
PC,529(A),FALSE PERSONATION OF ANOTHER:SPEC CIRC,other,529(A),529,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=529.
PC,529(A)(2),PERSONATE TO RECORDED DOCUMENT (F),other,529(A)(2),529,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=529.
PC,530,IMPERSONATE TO GET MONEY/FELONY,other,530,530,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.
PC,530.5(C)(1),POSSESS PERSONAL IDENTIFYING INFO WITH INTENT TO DEFRAUD,other,530.5(C)(1),530.5,0,all|property,property: explicit PC numeric statute family 530.5,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=530.5.
PC,532A(2),BENEFIT BY FALSE FIN STATEMENT USING FICTITIOUS NAME (F),other,532A(2),532,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=532.
PC,532A1,MAKE FALSE FIN STATEMENT USING FICTITIOUS NAME (F),other,532A1,532,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=532.
PC,532B,IMPERSONATE VETERAN TO SOLICIT (M),other,532B,532,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=532.
PC,532D(A),FRAUD:SOLICIT FOR CHARITABLE/RELIGIOUS CONTRIBUTIONS (M),other,532D(A),532,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=532.
PC,537(A)(1),DEFRAUDING AN INNKEEPER [$950 OR LESS],other,537(A)(1),537,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=537.
PC,537(A)(2),DEFRAUDING AN INNKEEPER [OVER $950] (F),other,537(A)(2),537,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=537.
PC,550(B)(2),CONSPIRE TO MAKE FAKE STATEMENT FOR INS CLAIM BENEFITS (F),other,550(B)(2),550,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=550.
PC,555.2,LOITER NEAR POSTED PROP (M),other,555.2,555.2,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=555.2.
PC,565,UNAUTH USE/OBLITERATE DAIRY BRAND REG [$400 OR LESS] (M),other,565,565,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=565.
PC,594.3(A),VANDALIZE PLACE OF WORSHIP (F),other,594.3(A),594.3,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.3.
PC,594.3(B),VANDALIZE CHURCH BECAUSE OF RACE TO INTIMIDATE (F),other,594.3(B),594.3,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.3.
PC,594.35(A),DESTROY CEMETERY PROPERTY (F),other,594.35(A),594.35,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.35.
PC,594.4(A),DEFACE STRUCTURE WITH CHEMICALS (F),other,594.4(A),594.4,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=594.4.
PC,597.7(A),ENDANGER ANIMAL CONFINED IN UNATTENDED MOTOR VEHICLE (I),other,597.7(A),597.7,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=597.7.
PC,602(O),TRESPASS:REFUSE LEAVE PROPERTY:PEACE OFFICER/OWNER REQUEST,other,602(O),602,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY:OWNER REQUEST,other,602(O),602,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,602(O),TRESPASS:REFUSE TO LEAVE PROPERTY:PEACE OFFICER REQUEST,other,602(O),602,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,602(T)(1),TRESPASS: COMMITED PRIOR CRIME ON PROPERTY (M),other,602(T)(1),602,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.
PC,602.8(A),UNAUTHORIZED ENTRY POSTED LAND (I),other,602.8(A),602.8,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=602.8.
PC,603,FORCIBLE ENTRY:PROPERTY DAMAGE (M),other,603,603,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=603.
PC,626.7(A),UNAUTH STAY/RETURN:SCHOOL ZONE (M),other,626.7(A),626.7,0,all,All-source population only; outside the selected statute-family indicators,1,1,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=626.7.
